Postcode, Number of PNs , Face Value ($) 
2431, 384 ," 88,270 "
2317, 376 ," 96,807 "
2104, 376 ," 89,803 "
2630, 373 ," 97,783 "
2710, 372 ," 98,713 "
2700, 365 ," 88,512 "
2556, 348 ," 106,028 "
2343, 346 ," 84,024 "
2445, 344 ," 81,678 "
2001, 344 ," 120,184 "
2866, 328 ," 83,507 "
2463, 322 ," 86,692 "
2621, 319 ," 75,043 "
2546, 316 ," 77,186 "
2821, 312 ," 85,794 "
2485, 311 ," 82,758 "
2370, 306 ," 88,098 "
2852, 299 ," 67,503 "
2464, 296 ," 78,367 "
2590, 288 ," 82,310 "
2783, 285 ," 74,718 "
2720, 282 ," 86,778 "
3500, 280 ," 85,865 "
2474, 280 ," 77,095 "
2559, 275 ," 74,310 "
2286, 275 ," 72,692 "
2835, 274 ," 77,454 "
2420, 272 ," 80,062 "
2334, 271 ," 76,297 "
2652, 270 ," 69,952 "
2579, 266 ," 68,740 "
2455, 265 ," 67,430 "
2748, 264 ," 85,298 "
2307, 264 ," 66,542 "
2877, 259 ," 63,834 "
2489, 256 ," 68,603 "
2105, 252 ," 59,735 "
2663, 247 ," 78,222 "
2804, 247 ," 55,009 "
2829, 246 ," 66,444 "
2778, 246 ," 61,212 "
2231, 243 ," 59,943 "
2175, 240 ," 84,777 "
2124, 238 ," 96,143 "
2600, 237 ," 63,763 "
2622, 237 ," 58,330 "
2845, 236 ," 56,935 "
2172, 236 ," 59,648 "
2847, 235 ," 58,046 "
2108, 235 ," 55,183 "
2357, 231 ," 63,234 "
2422, 230 ," 65,044 "
2627, 229 ," 60,404 "
2469, 225 ," 58,120 "
2786, 223 ," 49,556 "
2306, 223 ," 59,281 "
2174, 222 ," 60,121 "
2834, 219 ," 72,932 "
2666, 219 ," 58,228 "
2365, 216 ," 61,372 "
2671, 213 ," 50,605 "
2827, 212 ," 54,251 "
2798, 211 ," 49,291 "
2358, 209 ," 57,275 "
2083, 207 ," 47,956 "
